category,total_revenue,total_orders,avg_review_score,total_customers
health_beauty,1412089.53,8647,4.189729135644899,8498
watches_gifts,1264333.12,5495,4.071711092003439,5421
bed_bath_table,1225209.26,9272,3.923968239313083,9008
sports_leisure,1118256.91,7530,4.165492957746479,7341
computers_accessories,1032723.77,6530,3.986461619348055,6405
furniture_decor,880329.92,6307,3.9537747524752476,6178
housewares,758392.25,5743,4.107904085257549,5681
cool_stuff,691680.89,3559,4.194903767958796,3543
auto,669454.75,3810,4.116003903391071,3769
garden_tools,567145.68,3448,4.084316037735849,3420
toys,547061.06,3804,4.208927231807952,3763
baby,466727.65,2809,4.0782358905035485,2783
perfumery,443171.63,3086,4.219735656353259,3050
telephony,379202.62,4093,3.9943233424159854,4047
office_furniture,335211.36,1254,3.5133010882708584,1245
stationery,269575.05,2264,4.245818033455732,2250
pet_shop,250614.2,1688,4.216710182767624,1667
computers,228349.76,177,4.219387755102041,176
musical_instruments,202187.12,611,4.221705426356589,607
electronics,200723.09,2517,4.067158671586716,2507
small_appliances,198108.47,609,4.225114854517611,606
unknown,197695.69,1392,3.9386885245901637,1386
fashion_bags_accessories,179888.29,1820,4.1936708860759495,1757
luggage_accessories,168778.12,1019,4.352283317800559,1013
consoles_games,167097.73,1018,4.13855421686747,1014
construction_tools_construction,162382.01,736,4.090010976948409,732
home_appliances_2,118208.52,227,4.156521739130435,222
home_construction,95022.37,483,3.95777027027027,483
home_appliances,93301.78,747,4.222148246782068,688
furniture_living_room,85045.07,414,3.9346938775510205,407
agro_industry_and_commerce,76203.3,177,4.087378640776699,176
home_confort,66438.22,392,3.8548009367681497,391
air_conditioning,59854.55,246,4.052816901408451,244
fixed_telephony,59816.54,212,3.757936507936508,212
kitchen_dining_laundry_garden_furniture,57072.97,241,4.033088235294118,241
audio,56255.32,348,3.8365921787709496,347
books_general_interest,54182.54,496,4.512195121951219,490
small_appliances_home_oven_and_coffee,49245.9,72,4.438356164383562,72
construction_tools_lights,47447.14,242,4.082191780821918,242
industry_commerce_and_business,46079.340000000004,232,4.125954198473282,230
construction_tools_safety,42504.02,159,3.967032967032967,158
food,35794.68,441,4.262833675564682,436
market_place,33114.38,274,4.072607260726072,273
costruction_tools_garden,30283.94,190,4.116379310344827,187
fashion_shoes,27814.829999999998,235,4.290513833992095,234
signaling_and_security,27792.59,138,4.091836734693878,137
art,27485.53,195,4.082051282051282,195
drinks,26971.11,287,4.119113573407202,282
furniture_bedroom,23379.22,90,4.252427184466019,86
books_technical,22901.07,256,4.3893129770992365,255
food_drink,19337.77,221,4.366171003717472,219
costruction_tools_tools,17934.170000000002,97,4.444444444444445,97
fashion_male_clothing,12514.95,106,3.7580645161290325,104
christmas_supplies,11928.75,125,4.06993006993007,125
fashion_underwear_beach,11160.02,117,4.0476190476190474,117
tablets_printing_image,8754.61,79,4.1234567901234565,79
cine_photo,7902.18,63,4.285714285714286,63
music,6724.860000000001,38,4.2105263157894735,38
furniture_mattress_and_upholstery,5904.75,37,3.891891891891892,37
dvds_blu_ray,5769.84,56,4.180327868852459,55
party_supplies,5285.38,38,3.8333333333333335,38
books_imported,5150.94,50,4.508771929824562,49
portateis_cozinha_e_preparadores_de_alimentos,4228.05,13,3.4285714285714284,13
fashio_female_clothing,3218.44,36,3.933333333333333,36
fashion_sport,2657.5499999999997,26,4.344827586206897,26
la_cuisine,2388.54,13,4.0,13
arts_and_craftmanship,2184.14,23,4.125,21
diapers_and_hygiene,2046.19,25,3.3783783783783785,24
flowers,1598.91,29,4.419354838709677,29
pc_gamer,1430.1,7,3.625,7
home_comfort_2,1170.58,24,3.6296296296296298,23
cds_dvds_musicals,954.99,12,4.642857142857143,12
fashion_childrens_clothes,598.67,7,5.0,7
security_and_services,324.51,2,2.5,2
