state,total_orders,total_customers,total_revenue,avg_review_score,avg_delivery_time_days,revenue_share_pct,order_share_pct
SP,40501,39156,5769703.15,4.178092824445119,8.2596627979587,37.417560358173226,41.979518646738114
RJ,12350,11917,2055401.57,3.8742185635886424,14.688821325037122,13.32964804363618,12.800845788677211
MG,11354,11001,1818891.67,4.121472009979729,11.514091049860639,11.795838898090187,11.76848607972802
RS,5345,5168,861472.79,4.092313982011447,14.708299364095875,5.586805642981629,5.540123136880947
PR,4923,4769,781708.8,4.146159317211949,11.480793060718712,5.069521853392954,5.10271771802898
SC,3546,3449,595127.78,4.047255722372631,14.517207712960703,3.859510454879404,3.6754493252347684
BA,3256,3158,591137.81,3.861331871745684,18.77464023893565,3.8336347833897375,3.3748626629905263
DF,2080,2019,346123.35,4.060094097519247,12.501486199575371,2.2446720400161513,2.1559319223035303
GO,1957,1895,334212.35,4.0394736842105265,14.948177426438296,2.167427067469132,2.0284417172826967
ES,1995,1928,317657.93,4.014813126709207,15.192808988764044,2.060068682914365,2.067828935094011
PE,1593,1551,308972.05,4.02025462962963,17.79209621993127,2.003739192347099,1.6511536308795787
CE,1279,1258,266436.77,3.872445384073291,20.537166900420758,1.7278902681694666,1.3256908310702957
PA,946,922,212023.57,3.8384912959381046,23.301707779886147,1.3750109011813485,0.9805344223553556
MT,886,856,181224.42,4.007309941520468,17.508196721311474,1.1752728862185802,0.9183440784427538
MA,717,700,147803.55,3.7594458438287153,21.20375,0.9585325465621698,0.7431746097555919
PB,517,504,137838.55,4.037931034482758,20.119453924914676,0.8939077332441404,0.5358734633802524
MS,701,681,134367.55,4.063658838071693,15.10727496917386,0.8713976753387837,0.7265905180455648
PI,476,464,105178.19,3.9594594594594597,18.931166347992352,0.6820994374187883,0.4933767283733079
RN,474,464,100714.78,4.112934362934363,18.87332053742802,0.6531534225656197,0.49130371690955454
AL,397,387,94172.49,3.8254716981132075,23.992974238875878,0.610725497836828,0.4114927755550489
SE,335,329,70289.13,3.8981233243967828,20.978666666666665,0.4558376221311289,0.3472294201786936
TO,274,267,60007.37,4.155339805825243,17.003225806451614,0.3891585633673776,0.28400257053421507
RO,243,231,56966.0,4.073529411764706,19.28205128205128,0.36943473311338304,0.2518708928460374
AM,145,140,27585.47,4.111111111111111,25.96319018404908,0.17889672343603616,0.1502933311221211
AC,80,76,19575.33,4.131868131868132,20.32967032967033,0.1269495280370116,0.08292045855013579
AP,67,66,16141.81,4.2625,27.753086419753085,0.10468253465781233,0.06944588403573872
RR,41,40,9039.52,3.891304347826087,27.82608695652174,0.058622909431469444,0.042496735006944585
